title,keywords,journal,abstract,publication_date,authors,Topic Words
Quantitative proteomics reveals plasma protein profile and potential pathways in pulmonary tuberculosis patients with and without diabetes.,"['Cholesterol metabolism', 'Complement coagulation cascade pathway', 'Diabetes mellitus', 'Proteomics', 'Pulmonary tuberculosis']","Tuberculosis (Edinburgh, Scotland)","The coexistence of pulmonary tuberculosis (PTB) and diabetes mellitus (DM) has emerged as a significant global public health concern. Patients with DM are at higher risk of developing PTB, and PTB is one of the important factors that exacerbate the development of DM. However, the impact of DM on the protein profile and underlying pathways in PTB patients is unclear.
We systematically used data-independent acquisition (DIA)-based liquid chromatography - tandem mass spectrometry (LC-MS/MS) to identify differentially expressed proteins (DEPs) in plasma samples from PTB patients, DM combined with PTB patients, and healthy controls. Then these DEPs were analyzed by bioinformatics.
Our analysis identified 268 proteins, the results indicated that DEPs in the PTB group as well as in the DM-PTB group were mainly involved in immune responses, complement and coagulation cascade and cholesterol metabolic pathways compared to healthy controls.
We analyzed the plasma protein profiles of PTB, DM-PTB, and HC groups using proteomics techniques and identified potential pathways for PTB patients with and without DM. This provides valuable clues to explore the impact of DM on PTB.",2023-10-24,"[{'lastname': 'He', 'firstname': 'Xinxin', 'initials': 'X', 'affiliation': 'Department of Nephrology, The First Affiliated Hospital of Zhejiang Chinese Medical University (Zhejiang Provincial Hospital of Traditional Chinese Medicine), Hangzhou, Zhejiang, 310000, PR China; School of Clinical Medicine, Hangzhou Medical College, Hangzhou, Zhejiang, 311399, PR China. Electronic address: 881012021044@hmc.edu.cn.'}, {'lastname': 'Wang', 'firstname': 'Yunguang', 'initials': 'Y', 'affiliation': 'Department of Nephrology, The First Affiliated Hospital of Zhejiang Chinese Medical University (Zhejiang Provincial Hospital of Traditional Chinese Medicine), Hangzhou, Zhejiang, 310000, PR China. Electronic address: wordlist@aliyun.com.'}, {'lastname': 'Yang', 'firstname': 'Yue', 'initials': 'Y', 'affiliation': 'School of Clinical Medicine, Hangzhou Medical College, Hangzhou, Zhejiang, 311399, PR China. Electronic address: 184902015@qq.com.'}, {'lastname': 'He', 'firstname': 'Qiang', 'initials': 'Q', 'affiliation': 'Department of Nephrology, The First Affiliated Hospital of Zhejiang Chinese Medical University (Zhejiang Provincial Hospital of Traditional Chinese Medicine), Hangzhou, Zhejiang, 310000, PR China. Electronic address: qianghe1973@126.com.'}, {'lastname': 'Sun', 'firstname': 'Lifang', 'initials': 'L', 'affiliation': 'Department of Tuberculosis, Affiliated Hangzhou Chest Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, 310003, PR China; Department of Tuberculosis, Hangzhou Red Cross Hospital, Hangzhou, Zhejiang, 310003, PR China. Electronic address: lifangsun@zju.edu.cn.'}, {'lastname': 'Jin', 'firstname': 'Juan', 'initials': 'J', 'affiliation': 'Department of Nephrology, The First Affiliated Hospital of Zhejiang Chinese Medical University (Zhejiang Provincial Hospital of Traditional Chinese Medicine), Hangzhou, Zhejiang, 310000, PR China. Electronic address: jinjuan@hmc.edu.cn.'}]",La enfermedad sobre la que están hablando es la tuberculosis pulmonar (PTB) y la diabetes mellitus (DM).
Dual Inhibition of ,[],Journal of medicinal chemistry,"Tuberculosis (TB) control is complicated by the emergence of drug resistance. Promising strategies to prevent drug resistance are the targeting of nonreplicating, drug-tolerant bacterial populations and targeting of the host, but inhibitors and targets for either are still rare. In a cell-based screen of ATP-competitive inhibitors, we identified compounds with in vitro activity against replicating ",2023-10-23,"[{'lastname': 'Nandakumar', 'firstname': 'Meganathan', 'initials': 'M', 'affiliation': 'Structural Genomics Consortium, UNC Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.'}, {'lastname': 'Ollodart', 'firstname': 'Anja', 'initials': 'A', 'affiliation': ""Center for Global Infectious Disease Research, Seattle Children's Research Institute, Seattle, Washington 98109, United States.""}, {'lastname': 'Fleck', 'firstname': 'Neil', 'initials': 'N', 'affiliation': ""Center for Global Infectious Disease Research, Seattle Children's Research Institute, Seattle, Washington 98109, United States.""}, {'lastname': 'Kapadia', 'firstname': 'Nirav R', 'initials': 'NR', 'affiliation': 'Structural Genomics Consortium, UNC Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.'}, {'lastname': 'Frando', 'firstname': 'Andrew', 'initials': 'A', 'affiliation': ""Center for Global Infectious Disease Research, Seattle Children's Research Institute, Seattle, Washington 98109, United States.""}, {'lastname': 'Boradia', 'firstname': 'Vishant', 'initials': 'V', 'affiliation': ""Center for Global Infectious Disease Research, Seattle Children's Research Institute, Seattle, Washington 98109, United States.""}, {'lastname': 'Smith', 'firstname': 'Jeffery L', 'initials': 'JL', 'affiliation': 'Structural Genomics Consortium, UNC Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.'}, {'lastname': 'Chen', 'firstname': 'Junxi', 'initials': 'J', 'affiliation': ""Center for Global Infectious Disease Research, Seattle Children's Research Institute, Seattle, Washington 98109, United States.""}, {'lastname': 'Zuercher', 'firstname': 'William J', 'initials': 'WJ', 'affiliation': 'Structural Genomics Consortium, UNC Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.'}, {'lastname': 'Willson', 'firstname': 'Timothy M', 'initials': 'TM', 'affiliation': 'Structural Genomics Consortium, UNC Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States.'}, {'lastname': 'Grundner', 'firstname': 'Christoph', 'initials': 'C', 'affiliation': ""Center for Global Infectious Disease Research, Seattle Children's Research Institute, Seattle, Washington 98109, United States.\nDepartment of Pediatrics, University of Washington, Seattle, Washington 98195, United States.\nDepartment of Global Health, University of Washington, Seattle, Washington 98105, United States.""}]",NO_IDENTIFICADO
fastlin: an ultra-fast program for Mycobacterium tuberculosis complex lineage typing.,[],"Bioinformatics (Oxford, England)","Fastlin is a bioinformatics tool designed for rapid MTBC lineage typing. It utilises an ultra-fast alignment-free approach to detect previously identified barcode single nucleotide polymorphisms (SNPs) associated with specific MTBC lineages. In a comprehensive benchmarking against existing tools, fastlin demonstrated high accuracy and significantly faster running times.
fastlin is freely available at https://github.com/rderelle/fastlin and can easily be installed using Conda.
Supplementary data are available at Bioinformatics online.",2023-10-23,"[{'lastname': 'Derelle', 'firstname': 'Romain', 'initials': 'R', 'affiliation': 'NIHR Health Protection Research Unit in Respiratory Infections, National Heart and Lung Institute, Imperial College London, London, UK.'}, {'lastname': 'Lees', 'firstname': 'John', 'initials': 'J', 'affiliation': 'Department of Infectious Disease Epidemiology, Imperial College London, MRC Centre for Global Infectious Disease Analysis, London, W12 0BZ, UK.\nEuropean Molecular Biology Laboratory, European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, UK.'}, {'lastname': 'Phelan', 'firstname': 'Jody', 'initials': 'J', 'affiliation': 'Department of Pathogen Molecular Biology, London School of Hygiene and Tropical Medicine, London, UK.'}, {'lastname': 'Lalvani', 'firstname': 'Ajit', 'initials': 'A', 'affiliation': 'NIHR Health Protection Research Unit in Respiratory Infections, National Heart and Lung Institute, Imperial College London, London, UK.'}, {'lastname': 'Arinaminpathy', 'firstname': 'Nimalan', 'initials': 'N', 'affiliation': 'NIHR Health Protection Research Unit in Respiratory Infections, National Heart and Lung Institute, Imperial College London, London, UK.\nDepartment of Infectious Disease Epidemiology, Imperial College London, MRC Centre for Global Infectious Disease Analysis, London, W12 0BZ, UK.'}, {'lastname': 'Chindelevitch', 'firstname': 'Leonid', 'initials': 'L', 'affiliation': 'Department of Infectious Disease Epidemiology, Imperial College London, MRC Centre for Global Infectious Disease Analysis, London, W12 0BZ, UK.'}]",NO_IDENTIFICADO
G9a and Sirtuin6 epigenetically modulate host cholesterol accumulation to facilitate mycobacterial survival.,[],PLoS pathogens,"Cholesterol derived from the host milieu forms a critical factor for mycobacterial pathogenesis. However, the molecular circuitry co-opted by Mycobacterium tuberculosis (Mtb) to accumulate cholesterol in host cells remains obscure. Here, we report that the coordinated action of WNT-responsive histone modifiers G9a (H3K9 methyltransferase) and SIRT6 (H3K9 deacetylase) orchestrate cholesterol build-up in in vitro and in vivo mouse models of Mtb infection. Mechanistically, G9a, along with SREBP2, drives the expression of cholesterol biosynthesis and uptake genes; while SIRT6 along with G9a represses the genes involved in cholesterol efflux. The accumulated cholesterol in Mtb infected macrophages promotes the expression of antioxidant genes leading to reduced oxidative stress, thereby supporting Mtb survival. In corroboration, loss-of-function of G9a in vitro and pharmacological inhibition in vivo; or utilization of BMDMs derived from Sirt6-/- mice or in vivo infection in haplo-insufficient Sirt6-/+ mice; hampered host cholesterol accumulation and restricted Mtb burden. These findings shed light on the novel roles of G9a and SIRT6 during Mtb infection and highlight the previously unknown contribution of host cholesterol in potentiating anti-oxidative responses for aiding Mtb survival.",2023-10-23,"[{'lastname': 'Prakhar', 'firstname': 'Praveen', 'initials': 'P', 'affiliation': 'Department of Microbiology and Cell Biology, Indian Institute of Science, Bangalore, Karnataka, India.'}, {'lastname': 'Bhatt', 'firstname': 'Bharat', 'initials': 'B', 'affiliation': 'Department of Microbiology and Cell Biology, Indian Institute of Science, Bangalore, Karnataka, India.'}, {'lastname': 'Lohia', 'firstname': 'Gaurav Kumar', 'initials': 'GK', 'affiliation': 'Department of Microbiology and Cell Biology, Indian Institute of Science, Bangalore, Karnataka, India.'}, {'lastname': 'Shah', 'firstname': 'Awantika', 'initials': 'A', 'affiliation': 'Department of Microbiology and Cell Biology, Indian Institute of Science, Bangalore, Karnataka, India.'}, {'lastname': 'Mukherjee', 'firstname': 'Tanushree', 'initials': 'T', 'affiliation': 'Department of Microbiology and Cell Biology, Indian Institute of Science, Bangalore, Karnataka, India.'}, {'lastname': 'Kolthur-Seetharam', 'firstname': 'Ullas', 'initials': 'U', 'affiliation': 'Department of Biological Sciences, Tata Institute of Fundamental Research, Mumbai, Maharashtra, India.'}, {'lastname': 'Sundaresan', 'firstname': 'Nagalingam R', 'initials': 'NR', 'affiliation': 'Department of Microbiology and Cell Biology, Indian Institute of Science, Bangalore, Karnataka, India.'}, {'lastname': 'Rajmani', 'firstname': 'Raju S', 'initials': 'RS', 'affiliation': 'Centre for Infectious Disease Research, Indian Institute of Science, Bangalore-, Karnataka, India.'}, {'lastname': 'Balaji', 'firstname': 'Kithiganahalli Narayanaswamy', 'initials': 'KN', 'affiliation': 'Department of Microbiology and Cell Biology, Indian Institute of Science, Bangalore, Karnataka, India.'}]",La enfermedad sobre la que hablan en este fragmento es la tuberculosis.
Rural-Urban Inequities in Tuberculosis-Related Practices in Equatorial Guinea.,"['Health-seeking behaviour', 'Practices', 'Treatment abandon', 'Tuberculosis']",Journal of epidemiology and global health,"Tuberculosis (TB) is one of the leading causes of mortality from a single infectious disease agent. Equatorial Guinea is a country with high estimated TB incidence in 2021 (275 cases per 100,000 population) and low TB case detection (42%). Early diagnosis and prompt treatment are crucial for TB control. Failure to seek adequate health care increases the disease's transmission and leads to poor treatment outcome, the mortality, even for easily manageable conditions. Information regarding community management of TB and treatment-seeking patterns in Equatorial Guinea is rare. The aim of this study was to explore differences in TB health-seeking behaviour among urban and rural population TB cases in Equatorial Guinea and the factors associated with this behaviour.
A national cross-sectional study of 770 household caregivers was conducted in 2020 in Equatorial Guinea using multistage stratified sampling. The 284 caregivers that reported having had a TB case in their family were included in this study. A practice index was created. Poisson regression with robust variance was performed with the practices index as dependent variable to assess the factors associated with the health-seeking behaviour.
Most of the cases (65%) have had good TB health-seeking practices. However, 23.2% of TB cases reported having abandoned treatment before 6 months. A higher probability of having good TB practices was observed with being women, aged and living in rural area. Those who were TB cases themselves have heard about TB on the radio, and had high knowledge about TB, hand also good practices.
Disparities in tuberculosis health-seeking behaviour between rural and urban populations highlight the challenges existing in the fight against this infectious disease. The National Tuberculosis Control Program has to reinforce the health system needs to strengthen the follow-up of TB patients taking into account the population at risk of inappropriate TB behaviour.
Not applicable.",2023-10-23,"[{'lastname': 'Ayala', 'firstname': 'Alba', 'initials': 'A', 'affiliation': 'Centro Nacional de Medicina Tropical, Instituto de Salud Carlos III, Madrid, Spain.'}, {'lastname': 'Ncogo', 'firstname': 'Policarpo', 'initials': 'P', 'affiliation': 'Fundación Estatal, Salud, Infancia y Bienestar Social (FCSAI), Madrid, Spain.'}, {'lastname': 'Eyene', 'firstname': 'Juan', 'initials': 'J', 'affiliation': 'Ministerio de Salud y Bienestar Social, Malabo, Equatorial Guinea.'}, {'lastname': 'García', 'firstname': 'Belén', 'initials': 'B', 'affiliation': 'Fundación Estatal, Salud, Infancia y Bienestar Social (FCSAI), Madrid, Spain.'}, {'lastname': 'Benito', 'firstname': 'Agustín', 'initials': 'A', 'affiliation': 'Centro Nacional de Medicina Tropical, Instituto de Salud Carlos III, Madrid, Spain.\nCentro de Investigación Biomédica en Red de Enfermedades Infecciosas (CIBERINFEC), Madrid, Spain.'}, {'lastname': 'Romay-Barja', 'firstname': 'María', 'initials': 'M', 'affiliation': 'Centro Nacional de Medicina Tropical, Instituto de Salud Carlos III, Madrid, Spain. mromay@isciii.es.\nCentro de Investigación Biomédica en Red de Enfermedades Infecciosas (CIBERINFEC), Madrid, Spain. mromay@isciii.es.'}]",Enfermedad: Tuberculosis (TB)
Immune Features of Tumor Microenvironment: A Genetic Spotlight.,"['CTLA-4', 'Cancer', 'TP53', 'Tumor Microenvironment']",Cell biochemistry and biophysics,"A tumor represents a highly intricate tissue entity, characterized by an exceptionally complex microenvironment that starkly contrasts with the typical physiological surroundings of healthy tissues. Within this tumor microenvironment (TME), every component and factor assume paramount importance in the progression of malignancy and exerts a pivotal influence on a patient's clinical outcome. One of the remarkable aspects of the TME is its remarkable heterogeneity, not only across different types of cancers but even within the same histological category of tumors. In-depth research has illuminated the intricate interplay between specific immune cells and molecules and the dynamic characteristics of the TME. Recent investigations have yielded compelling evidence that several mutations harbored by tumor cells possess the capacity to instigate substantial alterations in the TME. These mutations, often acting as drivers of tumorigenesis, can orchestrate a cascade of events that remodel the TME, thereby influencing crucial aspects of cancer behavior, including its invasiveness, immune evasion, and response to therapies. It is within this nuanced context that the present study endeavors to provide a concise yet comprehensive summary of how specific mutations, within the genetic landscape of cancer cells, can instigate profound changes in TME features. By elucidating the intricate relationship between genetic mutations and the TME, this research aims to contribute to a deeper understanding of cancer biology. Ultimately, the knowledge gained from this study holds the potential to inform the development of more targeted and effective treatments, thereby offering new hope to patients grappling with the complexities of cancer.",2023-10-23,"[{'lastname': 'Asadi', 'firstname': 'Milad', 'initials': 'M', 'affiliation': 'Department of Basic Oncology, Health Institute of Ege University, Izmir, Turkey.'}, {'lastname': 'Zarredar', 'firstname': 'Habib', 'initials': 'H', 'affiliation': 'Tuberculosis and Lung Disease Research Center, Tabriz University of Medical Sciences, Tabriz, Iran.'}, {'lastname': 'Zafari', 'firstname': 'Venus', 'initials': 'V', 'affiliation': 'Department of Basic Oncology, Health Institute of Ege University, Izmir, Turkey.'}, {'lastname': 'Soleimani', 'firstname': 'Zahra', 'initials': 'Z', 'affiliation': 'Tuberculosis and Lung Disease Research Center, Tabriz University of Medical Sciences, Tabriz, Iran.'}, {'lastname': 'Saeedi', 'firstname': 'Hossein', 'initials': 'H', 'affiliation': 'Student Research Committee, Tabriz University of Medical Sciences, Tabriz, Iran.'}, {'lastname': 'Caner', 'firstname': 'Ayse', 'initials': 'A', 'affiliation': 'Department of Basic Oncology, Health Institute of Ege University, Izmir, Turkey. ayse.caner@ege.edu.tr.\nThe University of Texas, MD Anderson Cancer Center, Houston, USA. ayse.caner@ege.edu.tr.'}, {'lastname': 'Shanehbandi', 'firstname': 'Dariush', 'initials': 'D', 'affiliation': 'Immunology Research Center, Tabriz University of Medical Sciences, Tabriz, Iran. dariush_shanehbandi@yahoo.com.\nCancer Immunology and Immunotherapy Research Center, Ardabil University of Medical Sciences, Ardabil, Iran. dariush_shanehbandi@yahoo.com.'}]",NO_IDENTIFICADO
[Breast tuberculosis. Report of two cases].,"['breast disease', 'tuberculosis']",Medicina,"Two cases of mammary tuberculosis (TB) are presented, one of them with additional pleural and lymph node involvement. Both were HIV-negative, with no history of previous TB, with long-standing breast lesions. Both presented a successful outcome with antituberculosis treatment. Breast TB is a very rare pathology that is difficult to diagnose. The cases are presented to consider their differential diagnosis in patients with chronic mastitis and/or nodular or ulcerated lesions of the breast. Multidisciplinary management is recommended.
Se presentan los casos de dos pacientes con tuberculosis (TB) mamaria, una de ellas también con compromiso pleural y ganglionar. Ambas HIV negativas, sin antecedentes de TB previa, con lesiones mamarias de largo tiempo de evolución. Las dos presentaron buena evolución con tratamiento antifímico. La TB mamaria es una afección muy poco frecuente de difícil diagnóstico. Se presentan los casos con el fin de plantear su diagnóstico diferencial en pacientes con mastitis crónicas y/o lesiones nodulares o ulceradas de la mama. Se recomienda el manejo multidisciplinario.",2023-10-23,"[{'lastname': 'Barris', 'firstname': 'Margarita', 'initials': 'M', 'affiliation': 'Hospital Central San Isidro Melchor A. Posse, Buenos Aires, Argentina. E-mail: margaritabarris@gmail.com.\nHospital Municipal Materno Infantil de San Isidro, Buenos Aires, Argentina.'}, {'lastname': 'Figueras', 'firstname': 'Laura', 'initials': 'L', 'affiliation': 'Hospital Central San Isidro Melchor A. Posse, Buenos Aires, Argentina.\nHospital Municipal Materno Infantil de San Isidro, Buenos Aires, Argentina.'}, {'lastname': 'Ribecky', 'firstname': 'Martina', 'initials': 'M', 'affiliation': 'Hospital Central San Isidro Melchor A. Posse, Buenos Aires, Argentina.'}, {'lastname': 'Broese', 'firstname': 'Barbara', 'initials': 'B', 'affiliation': 'Hospital Central San Isidro Melchor A. Posse, Buenos Aires, Argentina.'}, {'lastname': 'Bertolini', 'firstname': 'Pamela', 'initials': 'P', 'affiliation': 'Hospital Central San Isidro Melchor A. Posse, Buenos Aires, Argentina.'}, {'lastname': 'Gaudenzi', 'firstname': 'Florencia', 'initials': 'F', 'affiliation': 'Hospital Central San Isidro Melchor A. Posse, Buenos Aires, Argentina.'}]",Enfermedad: Tuberculosis mamaria
[An emerging problem: heteroresistance in Mycobacterium tuberculosis].,"['Mycobacterium tuberculosis', 'drug resistance', 'heteroresistance', 'tuberculosis']",Medicina,"Mixed infection by Mycobacterium tuberculosis (Mtb) consists in the simultaneous coexistence in the same patient of two different strains of Mtb or 2 different variants of the same strain. When one of the variants selects for resistance mutations, it is called monoclonal heteroresistance (HTR); if there are 2 different strains, one sensitive and one resistant (or with different resistance patterns), it is called polyclonal HTR. Three cases of HIV/AIDS patients are presented, all with repeated treatment adherence problems, in whom monoclonal HTR was diagnosed through Mtb complete genomic sequentiation with the coexistence of two variants of the same strain isolated from samples from lung and lymph nodes, with different resistance profiles in each case. It is important to consider the possibility of HTR, especially in patients with multiple previous therapeutic attempts and high bacillary populations, such as in advanced AIDS, since this situation potentially compromises treatment results by coexisting sensitive and resistant variants of a strain (or strains).
Se considera infección mixta por Mycobacterium tuberculosis (Mtb) a la coexistencia en forma simultánea y en un mismo paciente de 2 cepas diferentes de Mtb o 2 variantes distintas de la misma cepa. Cuando una de las variantes selecciona mutaciones de resistencia, se denomina heterorresistencia (HTR) monoclonal; en caso de que sean 2 cepas diferentes, una sensible y una resistente (o cepas con diferentes patrones de resistencia), se denomina HTR policlonal. Se presentan 3 pacientes, HIV/sida, todos con reiterados problemas de adherencia al tratamiento, en los cuales a través de la secuenciación genómica completa de Mtb se diagnosticó HTR monoclonal con coexistencia de 2 variantes de la misma cepa aisladas de muestras de pulmón y ganglios linfáticos, con diferentes perfiles de resistencia en cada uno de los casos. Es importante pensar en la posibilidad de HTR, principalmente en pacientes con múltiples intentos terapéuticos previos y altas poblaciones bacilares, como en el sida avanzado, dado que esta situación compromete potencialmente los resultados del tratamiento al coexistir cepas o variantes de cepas sensibles y resistentes.",2023-10-23,"[{'lastname': 'Gamberale', 'firstname': 'Ana', 'initials': 'A', 'affiliation': 'División Tisioneumonología, Hospital Dr. F. J. Muñiz, Buenos Aires, Argentina.'}, {'lastname': 'Bartoletti', 'firstname': 'Bruno', 'initials': 'B', 'affiliation': 'División Tisioneumonología, Hospital Dr. F. J. Muñiz, Buenos Aires, Argentina.'}, {'lastname': 'Cruz', 'firstname': 'Víctor', 'initials': 'V', 'affiliation': 'División Tisioneumonología, Hospital Dr. F. J. Muñiz, Buenos Aires, Argentina.'}, {'lastname': 'Matteo', 'firstname': 'Mario', 'initials': 'M', 'affiliation': 'Laboratorio de Micobacterias Dr. Abel Cetrángolo, Instituto Vaccarezza, Buenos Aires, Argentina.'}, {'lastname': 'Latini', 'firstname': 'Cecilia', 'initials': 'C', 'affiliation': 'Laboratorio de Micobacterias Dr. Abel Cetrángolo, Instituto Vaccarezza, Buenos Aires, Argentina.'}, {'lastname': 'Paul', 'firstname': 'Roxana', 'initials': 'R', 'affiliation': 'Servicio de Micobacterias, INEI-ANLIS Dr. Carlos G. Malbrán, Buenos Aires, Argentina.'}, {'lastname': 'Lorenzo', 'firstname': 'Federico', 'initials': 'F', 'affiliation': 'Servicio de Micobacterias, INEI-ANLIS Dr. Carlos G. Malbrán, Buenos Aires, Argentina.'}, {'lastname': 'Símboli', 'firstname': 'Norberto', 'initials': 'N', 'affiliation': 'Servicio de Micobacterias, INEI-ANLIS Dr. Carlos G. Malbrán, Buenos Aires, Argentina.'}, {'lastname': 'Palmero', 'firstname': 'Domingo', 'initials': 'D', 'affiliation': 'División Tisioneumonología, Hospital Dr. F. J. Muñiz, Buenos Aires, Argentina. E-mail:djpalmero@vaccarezza.fmed.uba.ar.\nInstituto de Tisioneumonología Prof. Dr. R. Vaccarezza, Buenos Aires, Argentina.'}]",La enfermedad sobre la que están hablando es la tuberculosis.
Assessing tuberculosis in the skeleton with the use of decision tree analysis.,[],Anthropologischer Anzeiger; Bericht uber die biologisch-anthropologische Literatur,"Diagnosis of specific infectious diseases in the skeleton is often difficult and relies on expert opinion. Statistics is not often used as a tool to assist in such diagnoses, and therefore this study aimed at employing data mining and machine learning in the form of decision tree analysis to aid in recognizing tuberculosis (TB) in skeletal remains and find patterns of skeletal involvement. The sample included 387 modern South African individuals (n = 207 individuals known to have died of TB and n = 180 as a control group) which were scored for the presence or absence of 21 skeletal lesions documented to be associated with TB. A pruned decision tree classification analysis was done to detect significant patterns and associations between variables which produced a model with a moderate classification rate based on four of the variables. As expected, vertebral changes were selected first, followed by rib, acetabular and lastly cranial changes. As a proof of concept, it was shown that machine learning was able to identify patterns of changes in TB skeletons versus a control group. However, further investigation into the use of machine learning in assessing skeletal changes associated with specific diseases is needed.",2023-10-23,"[{'lastname': 'Botha', 'firstname': 'Deona', 'initials': 'D', 'affiliation': 'Human Variation and Identification Research Unit, School of Anatomical Sciences, Faculty of Health Sciences, University of the Witwatersrand, 7 York Road, Parktown, Johannesburg, 2193, South Africa.'}, {'lastname': 'Masiu', 'firstname': 'Rethabile', 'initials': 'R', 'affiliation': 'Basic Medical Sciences, School of Biomedical Sciences, Faculty of Health Sciences, University of the Free State, South Africa.'}, {'lastname': 'Steyn', 'firstname': 'Maryna', 'initials': 'M', 'affiliation': 'Human Variation and Identification Research Unit, School of Anatomical Sciences, Faculty of Health Sciences, University of the Witwatersrand, 7 York Road, Parktown, Johannesburg, 2193, South Africa.'}]",La enfermedad sobre la que están hablando en este fragmento es la tuberculosis (TB).
Correlations among the plasma concentrations of first-line anti-tuberculosis drugs and the physiological parameters influencing concentrations.,"['drug concentration', 'ethambutol', 'isoniazid', 'pyrazinamide', 'rifampicin', 'tuberculosis']",Frontiers in pharmacology,,2023-10-23,"[{'lastname': 'Cheng', 'firstname': 'Lin', 'initials': 'L', 'affiliation': 'Department of Pharmacy, the First Affiliated Hospital of Army Medical University (Third Military Medical University), Chongqing, China.'}, {'lastname': 'Luo', 'firstname': 'Ming', 'initials': 'M', 'affiliation': 'Chongqing Public Health Medical Center, Southwest University Public Health Hospital, Chongqing, China.'}, {'lastname': 'Guo', 'firstname': 'Yan', 'initials': 'Y', 'affiliation': 'Department of Infectious Diseases, the First Affiliated Hospital of Army Medical University (Third Military Medical University), Chongqing, China.'}, {'lastname': 'Fan', 'firstname': 'Yunfan', 'initials': 'Y', 'affiliation': 'Chongqing Public Health Medical Center, Southwest University Public Health Hospital, Chongqing, China.'}, {'lastname': 'Wang', 'firstname': 'Pengsen', 'initials': 'P', 'affiliation': 'Chongqing Public Health Medical Center, Southwest University Public Health Hospital, Chongqing, China.'}, {'lastname': 'Zhou', 'firstname': 'Gang', 'initials': 'G', 'affiliation': 'Chongqing Public Health Medical Center, Southwest University Public Health Hospital, Chongqing, China.'}, {'lastname': 'Qin', 'firstname': 'Shiwei', 'initials': 'S', 'affiliation': 'Department of Pharmacy, the First Affiliated Hospital of Army Medical University (Third Military Medical University), Chongqing, China.'}, {'lastname': 'Weng', 'firstname': 'Bangbi', 'initials': 'B', 'affiliation': 'Department of Pharmacy, the First Affiliated Hospital of Army Medical University (Third Military Medical University), Chongqing, China.'}, {'lastname': 'Li', 'firstname': 'Peibo', 'initials': 'P', 'affiliation': 'Chongqing Public Health Medical Center, Southwest University Public Health Hospital, Chongqing, China.'}, {'lastname': 'Liu', 'firstname': 'Zhirui', 'initials': 'Z', 'affiliation': 'Department of Pharmacy, the First Affiliated Hospital of Army Medical University (Third Military Medical University), Chongqing, China.'}, {'lastname': 'Liu', 'firstname': 'Songtao', 'initials': 'S', 'affiliation': 'Chongqing Public Health Medical Center, Southwest University Public Health Hospital, Chongqing, China.'}]","""La enfermedad es causada por la bacteria Bordetella pertussis y afecta principalmente a los niños. Se caracteriza por episodios recurrentes de tos severa, especialmente durante la noche. También puede causar dificultad para respirar, vómitos y fatiga. El tratamiento incluye antibióticos y vacunación.""

Enfermedad: Tos ferina"
